Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol
0:0:0:0,32212.938719588692,0,0,0,0,8 10 (8.0:87.0)[true-City Cargo Bike]:30 16 (30.0:77.0)[false-City Cargo Bike]:35 2 (35.0:31.0)[true-Van]:41 19 (41.0:9.0)[false-City Cargo Bike]:26 15 (26.0:7.0)[false-City Cargo Bike]:28 13 (28.0:23.0)[false-City Cargo Bike]:20 19 (20.0:21.0)[false-City Cargo Bike]:4 15 (4.0:49.0)[false-City Cargo Bike]:5 17 (5.0:69.0)[false-City Cargo Bike]:22 23 (22.0:85.0)[true-Van]:9 17 (9.0:19.0)[false-Van]:3 9 (3.0:17.0)[false-City Cargo Bike]:7 19 (7.0:49.0)[false-City Cargo Bike]:11 16 (11.0:69.0)[false-City Cargo Bike]:12 8 (12.0:49.0)[false-City Cargo Bike]:13 12 (13.0:17.0)[true-City Cargo Bike]:2 24 (2.0:85.0)[false-Van]:36 2 (36.0:69.0)[false-City Cargo Bike]:34 8 (34.0:71.0)[false-City Cargo Bike]:39 18 (39.0:65.0)[false-City Cargo Bike]:31 7 (31.0:49.0)[false-City Cargo Bike]:45 21 (45.0:59.0)[false-City Cargo Bike]:10 20 (10.0:69.0)[false-Van]:14 3 (14.0:45.0)[true-Van]:54 36 (54.0:51.0)[false-City Cargo Bike]:53 9 (53.0:51.0)[false-City Cargo Bike]:52 5 (52.0:5.0)[false-Van]:43 14 (43.0:7.0)[false-Van]:42 3 (42.0:15.0)[false-City Cargo Bike]:38 13 (38.0:13.0)[false-City Cargo Bike]:47 6 (47.0:15.0)[false-City Cargo Bike]:33 2 (33.0:41.0)[false-City Cargo Bike]:21 2 (21.0:77.0)[false-City Cargo Bike]:18 20 (18.0:77.0)[false-City Cargo Bike]:24 5 (24.0:75.0)[false-City Cargo Bike]:15 23 (15.0:21.0)[true-Van]:32 6 (32.0:21.0)[false-City Cargo Bike]:25 12 (25.0:1.0)[false-City Cargo Bike]:48 22 (48.0:1.0)[false-City Cargo Bike]:49 13 (49.0:1.0)[false-City Cargo Bike]:44 19 (44.0:61.0)[false-City Cargo Bike]:16 4 (16.0:71.0)[false-Van]:17 23 (17.0:53.0)[false-Van]:51 18 (51.0:95.0)[false-City Cargo Bike]:40 9 (40.0:91.0)[false-City Cargo Bike]:37 4 (37.0:91.0)[false-City Cargo Bike]:46 4 (46.0:85.0)[false-City Cargo Bike]:50 10 (50.0:85.0)[false-City Cargo Bike]:27 9 (27.0:81.0)[false-City Cargo Bike]:29 18 (29.0:81.0)[false-City Cargo Bike]:19 2 (19.0:89.0)[false-Van]:6 2 (6.0:87.0)[false-City Cargo Bike]:23 23 (23.0:43.0)[true-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:8::R:City Cargo Bike:30::R:Van:35:41:26:28:20:4:5::R:Van:22:9:3:7:11:12::R:City Cargo Bike:13::R:Van:2:36:34:39:31:45:10::R:Van:14:54:53:52:43:42:38:47:33:21::R:City Cargo Bike:18::R:City Cargo Bike:24::R:Van:15:32:25:48:49:44:16::R:Van:17:51:40:37:46:50:27:29:19:6::R:City Cargo Bike:23:,32212.938719588692,13.0,59448.242289290974,220061.30739133395,1070.0,218991.30739133395,6524.554855637709,NaN,4152.100139459131,1121.6649488545468,46.0,0.0,0.0,54.0,89.0,0.0,0.0,11.0,37.0,0.0,0.0,63.0,87.0,0.0,0.0,13.0
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,34203.84919441935,0,0,1,0,2 24 (2.0:85.0)[true-Van]:54 36 (54.0:51.0)[false-City Cargo Bike]:36 2 (36.0:69.0)[false-Van]:8 10 (8.0:87.0)[false-City Cargo Bike]:6 2 (6.0:87.0)[false-City Cargo Bike]:7 19 (7.0:49.0)[false-City Cargo Bike]:18 20 (18.0:77.0)[true-Van]:21 2 (21.0:77.0)[false-City Cargo Bike]:35 2 (35.0:31.0)[false-Van]:25 12 (25.0:1.0)[false-City Cargo Bike]:11 16 (11.0:69.0)[false-City Cargo Bike]:9 17 (9.0:19.0)[true-Van]:3 9 (3.0:17.0)[false-City Cargo Bike]:13 12 (13.0:17.0)[false-City Cargo Bike]:15 23 (15.0:21.0)[false-Walker]:46 4 (46.0:85.0)[false-City Cargo Bike]:37 4 (37.0:91.0)[false-City Cargo Bike]:40 9 (40.0:91.0)[false-City Cargo Bike]:5 17 (5.0:69.0)[false-City Cargo Bike]:23 23 (23.0:43.0)[true-Van]:20 19 (20.0:21.0)[false-Van]:38 13 (38.0:13.0)[false-City Cargo Bike]:17 23 (17.0:53.0)[false-City Cargo Bike]:14 3 (14.0:45.0)[false-City Cargo Bike]:12 8 (12.0:49.0)[false-City Cargo Bike]:16 4 (16.0:71.0)[true-City Cargo Bike]:28 13 (28.0:23.0)[true-Van]:26 15 (26.0:7.0)[false-City Cargo Bike]:32 6 (32.0:21.0)[false-City Cargo Bike]:45 21 (45.0:59.0)[false-City Cargo Bike]:44 19 (44.0:61.0)[false-City Cargo Bike]:10 20 (10.0:69.0)[false-Van]:52 5 (52.0:5.0)[true-Van]:43 14 (43.0:7.0)[false-Van]:41 19 (41.0:9.0)[false-City Cargo Bike]:47 6 (47.0:15.0)[false-City Cargo Bike]:49 13 (49.0:1.0)[false-Walker]:48 22 (48.0:1.0)[false-City Cargo Bike]:4 15 (4.0:49.0)[false-City Cargo Bike]:24 5 (24.0:75.0)[true-City Cargo Bike]:22 23 (22.0:85.0)[true-Walker]:33 2 (33.0:41.0)[false-City Cargo Bike]:31 7 (31.0:49.0)[false-City Cargo Bike]:42 3 (42.0:15.0)[true-Walker]:34 8 (34.0:71.0)[false-City Cargo Bike]:19 2 (19.0:89.0)[false-City Cargo Bike]:53 9 (53.0:51.0)[false-Van]:29 18 (29.0:81.0)[false-City Cargo Bike]:27 9 (27.0:81.0)[false-City Cargo Bike]:50 10 (50.0:85.0)[false-City Cargo Bike]:39 18 (39.0:65.0)[false-City Cargo Bike]:51 18 (51.0:95.0)[false-Walker]:30 16 (30.0:77.0)[false-City Cargo Bike]:,SOL:R:Van::R:Van:2:54:36:8:6:7::R:Van:18:21:35:25:11::R:Van:9:3:13:15:46:37:40:5::R:Van:23:20:38:17:14:12::R:City Cargo Bike:16::R:Van:28:26:32:45:44:10::R:Van:52:43:41:47:49:48:4::R:City Cargo Bike:24::R:Walker:22::R:City Cargo Bike:33:31::R:Walker:42::R:City Cargo Bike:34:19::R:Van:53:29:27:50:39:51:30:,34203.84919441935,14.0,60291.80663010338,226426.39562710747,1260.0,225166.39562710747,6592.2973778451815,NaN,4272.196143907689,1137.581257171762,57.0,14.0,0.0,29.0,85.0,4.0,0.0,11.0,35.0,29.0,0.0,36.0,92.0,4.0,0.0,4.0
0:0:1:1,93641.01141372861,0,0,1,1,4 15 (4.0:49.0)[false-Van]:17 23 (17.0:53.0)[false-City Cargo Bike]:5 17 (5.0:69.0)[false-City Cargo Bike]:26 15 (26.0:7.0)[false-Van]:42 3 (42.0:15.0)[false-City Cargo Bike]:7 19 (7.0:49.0)[false-Van]:8 10 (8.0:87.0)[true-Van]:18 20 (18.0:77.0)[false-City Cargo Bike]:27 9 (27.0:81.0)[false-City Cargo Bike]:28 13 (28.0:23.0)[false-City Cargo Bike]:29 18 (29.0:81.0)[false-City Cargo Bike]:10 20 (10.0:69.0)[false-Walker]:11 16 (11.0:69.0)[true-City Cargo Bike]:21 2 (21.0:77.0)[false-City Cargo Bike]:13 12 (13.0:17.0)[true-City Cargo Bike]:9 17 (9.0:19.0)[false-City Cargo Bike]:2 24 (2.0:85.0)[false-City Cargo Bike]:46 4 (46.0:85.0)[false-City Cargo Bike]:37 4 (37.0:91.0)[false-City Cargo Bike]:6 2 (6.0:87.0)[false-Van]:3 9 (3.0:17.0)[false-City Cargo Bike]:20 19 (20.0:21.0)[false-City Cargo Bike]:36 2 (36.0:69.0)[true-City Cargo Bike]:34 8 (34.0:71.0)[false-City Cargo Bike]:12 8 (12.0:49.0)[false-City Cargo Bike]:22 23 (22.0:85.0)[false-City Cargo Bike]:54 36 (54.0:51.0)[false-City Cargo Bike]:31 7 (31.0:49.0)[false-City Cargo Bike]:32 6 (32.0:21.0)[false-City Cargo Bike]:14 3 (14.0:45.0)[false-City Cargo Bike]:45 21 (45.0:59.0)[true-Van]:47 6 (47.0:15.0)[false-City Cargo Bike]:41 19 (41.0:9.0)[false-City Cargo Bike]:43 14 (43.0:7.0)[false-Van]:39 18 (39.0:65.0)[false-City Cargo Bike]:40 9 (40.0:91.0)[false-City Cargo Bike]:24 5 (24.0:75.0)[false-City Cargo Bike]:15 23 (15.0:21.0)[false-City Cargo Bike]:25 12 (25.0:1.0)[false-City Cargo Bike]:48 22 (48.0:1.0)[false-City Cargo Bike]:49 13 (49.0:1.0)[false-City Cargo Bike]:52 5 (52.0:5.0)[false-Van]:44 19 (44.0:61.0)[false-Van]:16 4 (16.0:71.0)[false-Van]:23 23 (23.0:43.0)[false-City Cargo Bike]:33 2 (33.0:41.0)[true-City Cargo Bike]:35 2 (35.0:31.0)[false-City Cargo Bike]:19 2 (19.0:89.0)[false-City Cargo Bike]:38 13 (38.0:13.0)[true-Van]:53 9 (53.0:51.0)[false-Van]:50 10 (50.0:85.0)[false-City Cargo Bike]:51 18 (51.0:95.0)[false-Van]:30 16 (30.0:77.0)[false-City Cargo Bike]:,SOL:R:Van:4:17:5:26:42:7::R:Van:8:18:27:28:29:10::R:City Cargo Bike:11::R:City Cargo Bike:21::R:City Cargo Bike:13::R:City Cargo Bike:9::R:City Cargo Bike:2::R:City Cargo Bike:46:37:6::R:City Cargo Bike:3::R:City Cargo Bike:20::R:City Cargo Bike:36:34::R:City Cargo Bike:12::R:City Cargo Bike:22::R:City Cargo Bike:54::R:City Cargo Bike:31::R:City Cargo Bike:32:14::R:Van:45:47:41:43:39:40:24::R:City Cargo Bike:15::R:City Cargo Bike:25::R:City Cargo Bike:48::R:City Cargo Bike:49::R:Van:52:44:16:23::R:City Cargo Bike:33:35:19::R:Van:38:53:50:51:30:,93641.01141372861,24.0,62810.20713671764,352138.56138292304,1550.0,350588.56138292304,6450.236229277144,1937.7819482287614,6644.123799677794,1185.098247862597,21.0,0.0,0.0,79.0,53.0,0.0,0.0,47.0,13.0,0.0,0.0,87.0,58.0,0.0,0.0,42.0
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
