Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,source
0:0:0:0,-1.0,0,0,0,0,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:0,145916.70035433603,0,0,1,0,45 26 (45.0:83.0)[false-City Cargo Bike]:2 4 (2.0:7.0)[false-City Cargo Bike]:32 2 (32.0:19.0)[false-City Cargo Bike]:3 18 (3.0:27.0)[false-City Cargo Bike]:4 22 (4.0:21.0)[false-City Cargo Bike]:5 14 (5.0:33.0)[false-City Cargo Bike]:30 14 (30.0:37.0)[false-City Cargo Bike]:48 2 (48.0:35.0)[false-City Cargo Bike]:8 7 (8.0:69.0)[false-City Cargo Bike]:9 20 (9.0:11.0)[false-City Cargo Bike]:14 2 (14.0:53.0)[false-City Cargo Bike]:11 7 (11.0:59.0)[false-City Cargo Bike]:55 23 (55.0:41.0)[false-City Cargo Bike]:31 14 (31.0:29.0)[false-City Cargo Bike]:16 10 (16.0:79.0)[false-City Cargo Bike]:6 5 (6.0:19.0)[false-City Cargo Bike]:17 5 (17.0:59.0)[false-City Cargo Bike]:18 21 (18.0:67.0)[false-City Cargo Bike]:19 20 (19.0:27.0)[false-City Cargo Bike]:57 24 (57.0:77.0)[true-City Cargo Bike]:13 20 (13.0:71.0)[true-City Cargo Bike]:10 19 (10.0:21.0)[false-City Cargo Bike]:41 15 (41.0:89.0)[false-City Cargo Bike]:22 15 (22.0:95.0)[false-City Cargo Bike]:20 1 (20.0:81.0)[true-Van]:29 24 (29.0:71.0)[false-City Cargo Bike]:53 4 (53.0:49.0)[false-Van]:21 15 (21.0:59.0)[false-Van]:38 14 (38.0:59.0)[false-City Cargo Bike]:56 4 (56.0:85.0)[false-City Cargo Bike]:59 2 (59.0:83.0)[false-Van]:52 12 (52.0:63.0)[false-City Cargo Bike]:33 15 (33.0:83.0)[false-City Cargo Bike]:27 22 (27.0:83.0)[false-City Cargo Bike]:26 21 (26.0:59.0)[true-City Cargo Bike]:54 10 (54.0:83.0)[true-City Cargo Bike]:23 14 (23.0:73.0)[true-Van]:36 6 (36.0:65.0)[false-City Cargo Bike]:39 26 (39.0:17.0)[false-Walker]:28 6 (28.0:5.0)[false-City Cargo Bike]:25 22 (25.0:3.0)[false-City Cargo Bike]:34 21 (34.0:97.0)[false-Walker]:60 20 (60.0:1.0)[true-Van]:37 23 (37.0:19.0)[false-City Cargo Bike]:44 22 (44.0:23.0)[false-City Cargo Bike]:42 23 (42.0:19.0)[false-City Cargo Bike]:15 11 (15.0:87.0)[false-City Cargo Bike]:35 15 (35.0:31.0)[false-City Cargo Bike]:40 15 (40.0:45.0)[true-Van]:43 7 (43.0:23.0)[false-City Cargo Bike]:63 8 (63.0:45.0)[false-Walker]:62 19 (62.0:41.0)[false-Walker]:46 20 (46.0:11.0)[false-Van]:49 15 (49.0:21.0)[false-City Cargo Bike]:47 3 (47.0:17.0)[false-Van]:50 2 (50.0:21.0)[false-Van]:7 9 (7.0:59.0)[false-City Cargo Bike]:51 21 (51.0:71.0)[false-Van]:58 17 (58.0:57.0)[false-Van]:61 18 (61.0:45.0)[false-City Cargo Bike]:24 19 (24.0:41.0)[false-City Cargo Bike]:12 18 (12.0:99.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike::R:City Cargo Bike:45::R:City Cargo Bike:2:32::R:City Cargo Bike:3::R:City Cargo Bike:4::R:City Cargo Bike:5::R:City Cargo Bike:30::R:City Cargo Bike:48:8::R:City Cargo Bike:9::R:City Cargo Bike:14:11::R:City Cargo Bike:55::R:City Cargo Bike:31::R:City Cargo Bike:16::R:City Cargo Bike:6:17::R:City Cargo Bike:18::R:City Cargo Bike:19::R:City Cargo Bike:57::R:City Cargo Bike:13::R:City Cargo Bike:10::R:City Cargo Bike:41::R:City Cargo Bike:22::R:Van:20:29:53:21:38:56:59:52:33::R:City Cargo Bike:27::R:City Cargo Bike:26::R:City Cargo Bike:54::R:Van:23:36:39:28:25:34::R:Van:60:37:44:42:15::R:City Cargo Bike:35::R:Van:40:43:63:62:46:49:47:50:7::R:Van:51:58:61:24:12:,145916.70035433603,30.0,70584.96702405311,477204.3149712102,1850.0,475354.3149712102,7087.848114080391,NaN,7696.843789858229,1138.4672100653727,17.0,0.0,0.0,83.0,55.0,0.0,0.0,45.0,10.0,0.0,0.0,90.0,55.0,0.0,0.0,45.0,RndSwap:simple
0:0:1:1,-1.0,0,0,1,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
