Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,z,z,source
0:0:0:0:0,12294.55206,0,0,0,0,0,2 2 (2.0:37.0)[false-Van]:3 1 (3.0:77.0)[false-Van]:55 12 (55.0:10.0)[false-Van]:8 6 (8.0:97.0)[false-City Cargo Bike]:22 15 (22.0:38.0)[false-City Cargo Bike]:7 21 (7.0:63.0)[false-Van]:11 23 (11.0:36.0)[false-Van]:13 15 (13.0:6.0)[false-Van]:20 15 (20.0:10.0)[true-Van]:15 23 (15.0:86.0)[false-Van]:16 8 (16.0:68.0)[false-Van]:49 2 (49.0:28.0)[false-Van]:35 9 (35.0:10.0)[false-City Cargo Bike]:25 1 (25.0:26.0)[false-Van]:17 5 (17.0:28.0)[false-Van]:18 14 (18.0:10.0)[false-Van]:31 26 (31.0:78.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:43 1 (43.0:80.0)[false-Van]:23 10 (23.0:80.0)[false-Van]:21 18 (21.0:104.0)[false-Van]:26 1 (26.0:4.0)[false-Van]:27 18 (27.0:10.0)[false-Van-30]:4 3 (4.0:35.0)[false-Van]:14 10 (14.0:24.0)[false-Van]:39 10 (39.0:8.0)[false-Van]:28 7 (28.0:26.0)[false-Van]:53 1 (53.0:78.0)[false-Van]:36 7 (36.0:8.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:50 11 (50.0:30.0)[false-Van]:29 12 (29.0:4.0)[false-Van]:30 9 (30.0:4.0)[false-Van]:9 22 (9.0:3.0)[false-Van]:32 60 (32.0:64.0)[false-Van]:34 17 (34.0:24.0)[false-Van]:10 10 (10.0:5.0)[false-Van]:45 14 (45.0:36.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:12 2 (12.0:64.0)[false-Van]:51 17 (51.0:78.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:6 13 (6.0:21.0)[false-Van]:41 24 (41.0:6.0)[false-Van]:42 25 (42.0:10.0)[false-Van]:44 20 (44.0:102.0)[false-Van]:57 13 (57.0:10.0)[false-Van]:5 9 (5.0:1.0)[false-Van]:24 17 (24.0:22.0)[false-Van]:47 9 (47.0:22.0)[false-Van]:54 8 (54.0:6.0)[false-Van]:56 9 (56.0:40.0)[false-Van]:52 3 (52.0:10.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:19 6 (19.0:8.0)[false-City Cargo Bike]:,SOL:R:Van:2:3:55:8:22:7:11:13::R:Van:20:15:16:49:35:25:17:18::R:Van:31:46:43:23:21:26:27:4:14::R:Van:39:28:53:36:37:50:29:30:9::R:Van:32:34:10::R:Van:45:33:38:12:51:40:6::R:Van:41:42:44:57:5::R:Van:24:47:54:56:52:48:19:,12294.55206,8,61472.76028,185378.2808,960,184418.2808,13544.59774,1325.052305,3310.326443,1097.727862,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,init
0:0:0:0:1,-1,0,0,0,0,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:2,-1,0,0,0,0,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:3,-1,0,0,0,0,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:0:4,-1,0,0,0,0,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:0,12294.55206,0,0,0,1,0,13 15 (13.0:6.0)[false-City Cargo Bike]:42 25 (42.0:10.0)[true-Van]:41 24 (41.0:6.0)[false-Van]:4 3 (4.0:35.0)[false-Van]:7 21 (7.0:63.0)[false-City Cargo Bike]:8 6 (8.0:97.0)[false-Van]:10 10 (10.0:5.0)[false-Van]:12 2 (12.0:64.0)[true-Van]:2 2 (2.0:37.0)[false-Van]:36 7 (36.0:8.0)[false-Van]:52 3 (52.0:10.0)[false-Van-30]:11 23 (11.0:36.0)[false-City Cargo Bike]:55 12 (55.0:10.0)[false-Van]:15 23 (15.0:86.0)[false-Van]:16 8 (16.0:68.0)[false-City Cargo Bike]:28 7 (28.0:26.0)[false-City Cargo Bike]:6 13 (6.0:21.0)[false-Van]:20 15 (20.0:10.0)[true-Van]:51 17 (51.0:78.0)[false-City Cargo Bike]:21 18 (21.0:104.0)[false-Van]:22 15 (22.0:38.0)[false-Van]:24 17 (24.0:22.0)[false-Van]:54 8 (54.0:6.0)[false-Van-30]:19 6 (19.0:8.0)[false-Van]:23 10 (23.0:80.0)[false-Van]:27 18 (27.0:10.0)[false-Van]:29 12 (29.0:4.0)[false-Van]:30 9 (30.0:4.0)[false-City Cargo Bike]:35 9 (35.0:10.0)[false-Van]:31 26 (31.0:78.0)[false-Van]:26 1 (26.0:4.0)[false-City Cargo Bike]:17 5 (17.0:28.0)[false-Van]:14 10 (14.0:24.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:34 17 (34.0:24.0)[false-Van]:3 1 (3.0:77.0)[false-Van]:53 1 (53.0:78.0)[false-Van-30]:32 60 (32.0:64.0)[false-City Cargo Bike]:5 9 (5.0:1.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:25 1 (25.0:26.0)[false-Van]:39 10 (39.0:8.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:49 2 (49.0:28.0)[false-Van]:9 22 (9.0:3.0)[false-Van-30]:50 11 (50.0:30.0)[false-Van]:56 9 (56.0:40.0)[false-Van]:43 1 (43.0:80.0)[false-Van]:57 13 (57.0:10.0)[false-Van]:44 20 (44.0:102.0)[false-Van]:47 9 (47.0:22.0)[false-City Cargo Bike]:45 14 (45.0:36.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:18 14 (18.0:10.0)[false-Van]:,SOL:R:City Cargo Bike::R:City Cargo Bike:13::R:Van:42:41:4:7:8:10::R:Van:12:2:36:52:11:55:15:16:28:6::R:Van:20:51:21:22:24:54:19::R:Van:23:27:29:30:35:31:26:17:14::R:Van:33:34:3:53:32:5::R:Van:37:38:48:25:39:40:49:9::R:Van:50:56:43:57:44:47:45:46:18:,12294.55206,9,54253.01668,166586.9475,940,165646.9475,14325.42545,NaN,2974.766919,968.8038693,78,0,0,22,98,0,0,2,88,0,0,12,98,0,0,2,CrossOver:simple
0:0:0:1:1,31813.60698,0,0,0,1,1,10 10 (10.0:5.0)[true-Van-30]:41 24 (41.0:6.0)[true-Van]:11 23 (11.0:36.0)[false-Van-30]:7 21 (7.0:63.0)[false-Van]:13 15 (13.0:6.0)[false-Van]:12 2 (12.0:64.0)[true-City Cargo Bike]:2 2 (2.0:37.0)[false-Van]:52 3 (52.0:10.0)[false-Van-30]:4 3 (4.0:35.0)[false-Van]:55 12 (55.0:10.0)[false-Van]:15 23 (15.0:86.0)[false-Van]:8 6 (8.0:97.0)[false-Van]:16 8 (16.0:68.0)[false-City Cargo Bike]:28 7 (28.0:26.0)[false-City Cargo Bike]:3 1 (3.0:77.0)[false-City Cargo Bike]:35 9 (35.0:10.0)[false-Van]:57 13 (57.0:10.0)[false-Van]:53 1 (53.0:78.0)[false-Van]:6 13 (6.0:21.0)[false-Van]:14 10 (14.0:24.0)[false-City Cargo Bike]:20 15 (20.0:10.0)[true-Van]:18 14 (18.0:10.0)[true-City Cargo Bike]:56 9 (56.0:40.0)[true-Van]:29 12 (29.0:4.0)[false-Van]:51 17 (51.0:78.0)[false-City Cargo Bike]:21 18 (21.0:104.0)[false-Van]:22 15 (22.0:38.0)[false-Van]:9 22 (9.0:3.0)[false-City Cargo Bike]:5 9 (5.0:1.0)[false-City Cargo Bike]:27 18 (27.0:10.0)[false-City Cargo Bike]:49 2 (49.0:28.0)[false-City Cargo Bike]:26 1 (26.0:4.0)[false-Van]:17 5 (17.0:28.0)[false-City Cargo Bike]:31 26 (31.0:78.0)[false-Van]:46 6 (46.0:44.0)[false-Van]:43 1 (43.0:80.0)[false-Van]:23 10 (23.0:80.0)[false-Van]:39 10 (39.0:8.0)[false-Van]:37 13 (37.0:8.0)[false-Van]:30 9 (30.0:4.0)[false-City Cargo Bike]:50 11 (50.0:30.0)[true-Van]:32 60 (32.0:64.0)[false-Van]:34 17 (34.0:24.0)[false-Van]:25 1 (25.0:26.0)[false-Van]:45 14 (45.0:36.0)[false-Van]:33 12 (33.0:98.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:42 25 (42.0:10.0)[false-City Cargo Bike]:36 7 (36.0:8.0)[false-Van]:24 17 (24.0:22.0)[false-Van]:47 9 (47.0:22.0)[false-Van]:40 17 (40.0:86.0)[false-Van]:54 8 (54.0:6.0)[false-Van]:48 11 (48.0:100.0)[false-Van]:44 20 (44.0:102.0)[false-Van]:19 6 (19.0:8.0)[false-City Cargo Bike]:,SOL:R:Van-30::R:Van-30:10::R:Van:41:11:7:13::R:City Cargo Bike:12:2:52:4::R:Van:55:15:8:16:28:3:35:57:53:6::R:City Cargo Bike:14::R:Van:20::R:City Cargo Bike:18::R:Van:56:29:51:21:22:9::R:City Cargo Bike:5::R:City Cargo Bike:27::R:City Cargo Bike:49:26:17::R:Van:31:46:43:23:39:37:30::R:Van:50:32:34:25::R:Van:45:33:38:42:36:24::R:Van:47:40:54:48:44:19:,31813.60698,16,91466.15602,305981.8335,1420,304561.8335,16909.64995,NaN,5463.961312,1633.324215,63,0,0,38,80,0,0,20,58,0,0,42,90,0,0,10,RndSwap:simple
0:0:0:1:2,-1,0,0,0,1,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:3,-1,0,0,0,1,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:1:4,-1,0,0,0,1,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
