Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,<>,source
0:0:0:0,7860.906178,0,0,0,0,9 6 (9.0:14.0)[true-Van]:5 19 (5.0:13.0)[false-Van]:21 8 (21.0:50.0)[false-Van]:6 7 (6.0:29.0)[false-Van]:7 12 (7.0:58.0)[false-Van]:8 16 (8.0:84.0)[false-Van]:29 15 (29.0:23.0)[true-Van]:30 2 (30.0:20.0)[false-Van]:26 24 (26.0:9.0)[false-Van]:23 4 (23.0:5.0)[false-City Cargo Bike]:16 22 (16.0:1.0)[false-City Cargo Bike]:2 19 (2.0:96.0)[false-City Cargo Bike]:3 21 (3.0:50.0)[true-Van]:10 16 (10.0:2.0)[false-City Cargo Bike]:11 8 (11.0:3.0)[false-Van]:19 1 (19.0:19.0)[false-Van]:12 14 (12.0:5.0)[false-City Cargo Bike]:14 16 (14.0:84.0)[false-City Cargo Bike]:22 12 (22.0:98.0)[true-Van]:27 2 (27.0:80.0)[false-Van]:31 14 (31.0:85.0)[false-City Cargo Bike]:4 6 (4.0:49.0)[false-Van]:24 8 (24.0:42.0)[false-Van]:13 21 (13.0:98.0)[false-Van]:17 18 (17.0:88.0)[false-Van]:15 3 (15.0:61.0)[true-Van]:32 9 (32.0:98.0)[false-City Cargo Bike]:28 20 (28.0:57.0)[false-Van]:20 24 (20.0:93.0)[false-City Cargo Bike]:25 24 (25.0:61.0)[false-Walker]:18 19 (18.0:91.0)[false-Van]:,SOL:R:Van::R:Van:9:5:21:6:7:8::R:Van:29:30:26:23:16:2::R:Van:3:10:11:19:12:14::R:Van:22:27:31:4:24:13:17::R:Van:15:32:28:20:25:18:,7860.906178,6,39304.53089,118633.5927,720,117913.5927,7097.111814,NaN,3826.890086,1267.888093,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,RndSwap:simple
0:0:0:1,-1,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:2,-1,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:3,-1,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:0:4,-1,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:0,10072.06673,0,0,1,0,19 1 (19.0:19.0)[true-Van]:24 8 (24.0:42.0)[false-Van]:5 19 (5.0:13.0)[false-Van]:6 7 (6.0:29.0)[false-Van]:21 8 (21.0:50.0)[false-Van]:8 16 (8.0:84.0)[false-Van]:31 14 (31.0:85.0)[true-Van]:26 24 (26.0:9.0)[false-Van]:23 4 (23.0:5.0)[false-City Cargo Bike]:3 21 (3.0:50.0)[false-Van]:2 19 (2.0:96.0)[false-City Cargo Bike]:16 22 (16.0:1.0)[true-Van]:10 16 (10.0:2.0)[false-City Cargo Bike]:11 8 (11.0:3.0)[false-Van]:12 14 (12.0:5.0)[false-City Cargo Bike]:14 16 (14.0:84.0)[false-City Cargo Bike]:22 12 (22.0:98.0)[true-Van]:27 2 (27.0:80.0)[false-Van]:32 9 (32.0:98.0)[false-City Cargo Bike]:7 12 (7.0:58.0)[false-City Cargo Bike]:15 3 (15.0:61.0)[false-City Cargo Bike]:4 6 (4.0:49.0)[false-Walker]:20 24 (20.0:93.0)[false-City Cargo Bike]:18 19 (18.0:91.0)[false-Van]:9 6 (9.0:14.0)[true-Van]:30 2 (30.0:20.0)[false-City Cargo Bike]:17 18 (17.0:88.0)[false-Van]:28 20 (28.0:57.0)[true-Van]:29 15 (29.0:23.0)[false-Van]:25 24 (25.0:61.0)[false-City Cargo Bike]:13 21 (13.0:98.0)[false-Van]:,SOL:R:Van::R:Van:19:24:5:6:21:8::R:Van:31:26:23:3:2::R:Van:16:10:11:12:14::R:Van:22:27:32:7:15:4:20:18::R:Van:9:30:17::R:Van:28:29:25:13:,10072.06673,7,50360.33366,151921.001,840,151081.001,7283.158447,NaN,4900.677451,1624.526892,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,init
0:0:1:1,55750.48732,0,0,1,1,3 21 (3.0:50.0)[false-Van]:4 6 (4.0:49.0)[false-Van]:30 2 (30.0:20.0)[false-City Cargo Bike]:29 15 (29.0:23.0)[false-City Cargo Bike]:5 19 (5.0:13.0)[false-City Cargo Bike]:20 24 (20.0:93.0)[false-City Cargo Bike]:25 24 (25.0:61.0)[false-City Cargo Bike]:15 3 (15.0:61.0)[false-City Cargo Bike]:6 7 (6.0:29.0)[false-City Cargo Bike]:24 8 (24.0:42.0)[false-City Cargo Bike]:27 2 (27.0:80.0)[false-Van]:2 19 (2.0:96.0)[false-City Cargo Bike]:17 18 (17.0:88.0)[true-Van]:22 12 (22.0:98.0)[false-City Cargo Bike]:7 12 (7.0:58.0)[false-City Cargo Bike]:8 16 (8.0:84.0)[false-Van]:28 20 (28.0:57.0)[false-City Cargo Bike]:9 6 (9.0:14.0)[false-City Cargo Bike]:10 16 (10.0:2.0)[false-City Cargo Bike]:11 8 (11.0:3.0)[true-Van]:12 14 (12.0:5.0)[false-City Cargo Bike]:23 4 (23.0:5.0)[false-City Cargo Bike]:32 9 (32.0:98.0)[false-City Cargo Bike]:13 21 (13.0:98.0)[false-City Cargo Bike]:26 24 (26.0:9.0)[true-City Cargo Bike]:16 22 (16.0:1.0)[false-City Cargo Bike]:18 19 (18.0:91.0)[false-City Cargo Bike]:14 16 (14.0:84.0)[false-City Cargo Bike]:19 1 (19.0:19.0)[false-City Cargo Bike]:21 8 (21.0:50.0)[false-City Cargo Bike]:31 14 (31.0:85.0)[false-City Cargo Bike]:,SOL:R:Van:3:4:30:29:5:20::R:City Cargo Bike:25::R:City Cargo Bike:15:6::R:City Cargo Bike:24:27::R:City Cargo Bike:2::R:Van:17:22:7:8:28:9:10::R:Van:11:12:23:32:13::R:City Cargo Bike:26::R:City Cargo Bike:16::R:City Cargo Bike:18::R:City Cargo Bike:14::R:City Cargo Bike:19:21::R:City Cargo Bike:31:,55750.48732,13,67677.82442,288323.3181,860,287463.3181,7105.328501,1888.288449,9300.752198,2183.155626,23,0,0,77,58,0,0,42,24,0,0,76,59,0,0,41,RndSwap:simple
0:0:1:2,-1,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:3,-1,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:1:4,-1,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:0,15244.71943,0,0,2,0,3 21 (3.0:50.0)[true-Van]:5 19 (5.0:13.0)[false-Van]:21 8 (21.0:50.0)[false-Van]:6 7 (6.0:29.0)[false-Van]:8 16 (8.0:84.0)[false-City Cargo Bike]:26 24 (26.0:9.0)[true-Van]:23 4 (23.0:5.0)[false-City Cargo Bike]:22 12 (22.0:98.0)[false-Van]:14 16 (14.0:84.0)[false-City Cargo Bike]:16 22 (16.0:1.0)[true-Van]:4 6 (4.0:49.0)[false-Walker]:18 19 (18.0:91.0)[false-Van]:29 15 (29.0:23.0)[true-Van]:20 24 (20.0:93.0)[false-City Cargo Bike]:25 24 (25.0:61.0)[true-Van]:15 3 (15.0:61.0)[false-City Cargo Bike]:30 2 (30.0:20.0)[false-City Cargo Bike]:24 8 (24.0:42.0)[false-City Cargo Bike]:2 19 (2.0:96.0)[false-City Cargo Bike]:17 18 (17.0:88.0)[true-City Cargo Bike]:9 6 (9.0:14.0)[true-Van]:10 16 (10.0:2.0)[false-City Cargo Bike]:11 8 (11.0:3.0)[false-City Cargo Bike]:12 14 (12.0:5.0)[false-City Cargo Bike]:31 14 (31.0:85.0)[false-City Cargo Bike]:27 2 (27.0:80.0)[false-City Cargo Bike]:7 12 (7.0:58.0)[false-Van]:28 20 (28.0:57.0)[true-Van]:19 1 (19.0:19.0)[false-Walker]:32 9 (32.0:98.0)[false-Van]:13 21 (13.0:98.0)[false-Van]:,SOL:R:Van::R:Van:3:5:21:6:8::R:Van:26:23:22:14::R:Van:16:4:18::R:Van:29:20::R:Van:25:15:30:24:2::R:City Cargo Bike:17::R:Van:9:10:11:12:31:27:7::R:Van:28:19:32:13:,15244.71943,9,66738.78138,205020.2704,1010,204010.2704,7185.527854,NaN,6613.557111,2152.863915,89,0,0,11,97,0,0,3,88,0,0,12,96,0,0,4,RndSwap:simple
0:0:2:1,55676.69564,0,0,2,1,4 6 (4.0:49.0)[false-Van]:27 2 (27.0:80.0)[false-Van]:3 21 (3.0:50.0)[false-Walker]:21 8 (21.0:50.0)[true-Van]:28 20 (28.0:57.0)[false-City Cargo Bike]:32 9 (32.0:98.0)[false-City Cargo Bike]:14 16 (14.0:84.0)[false-Van]:31 14 (31.0:85.0)[true-Van]:20 24 (20.0:93.0)[false-City Cargo Bike]:29 15 (29.0:23.0)[false-City Cargo Bike]:5 19 (5.0:13.0)[false-City Cargo Bike]:25 24 (25.0:61.0)[false-City Cargo Bike]:15 3 (15.0:61.0)[false-City Cargo Bike]:6 7 (6.0:29.0)[false-City Cargo Bike]:24 8 (24.0:42.0)[false-City Cargo Bike]:2 19 (2.0:96.0)[false-City Cargo Bike]:17 18 (17.0:88.0)[false-City Cargo Bike]:8 16 (8.0:84.0)[false-Van]:9 6 (9.0:14.0)[true-City Cargo Bike]:30 2 (30.0:20.0)[false-City Cargo Bike]:10 16 (10.0:2.0)[false-Van]:7 12 (7.0:58.0)[false-City Cargo Bike]:11 8 (11.0:3.0)[true-Van]:12 14 (12.0:5.0)[false-City Cargo Bike]:23 4 (23.0:5.0)[false-City Cargo Bike]:16 22 (16.0:1.0)[false-City Cargo Bike]:13 21 (13.0:98.0)[false-City Cargo Bike]:26 24 (26.0:9.0)[true-City Cargo Bike]:18 19 (18.0:91.0)[false-City Cargo Bike]:22 12 (22.0:98.0)[false-City Cargo Bike]:19 1 (19.0:19.0)[false-City Cargo Bike]:,SOL:R:Van:4:27:3::R:Van:21:28:32:14::R:Van:31:20:29:5:25:15::R:City Cargo Bike:6::R:City Cargo Bike:24::R:City Cargo Bike:2::R:City Cargo Bike:17::R:Van:8::R:City Cargo Bike:9:30::R:Van:10:7::R:Van:11:12:23:16:13::R:City Cargo Bike:26::R:City Cargo Bike:18::R:City Cargo Bike:22::R:City Cargo Bike:19:,55676.69564,15,67870.41732,288986.4763,1170,287816.4763,7161.132946,1840.759126,9322.144397,2189.368301,40,0,0,60,68,0,0,32,24,0,0,76,72,0,0,28,AddRoute:CargoBike:simple
0:0:2:2,-1,0,0,2,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:3,-1,0,0,2,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
0:0:2:4,-1,0,0,2,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
