Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,RawDistance,RawNoRoutes,RawCO2,RawTotalCost,RawFixedCost,RawRunningCost,RawTimeOfLastDel,RawAvgDelTime,RawCostPerDelivery,RawCO2PerDelivery,RawPCICRoutes,RawPCWalkRoutes,RawPCEVRoutes,RawPCCycleRoutes,RawPCICVisits,RawPCWalkVisits,RawPCEVVisits,RawPCCycleVisits,RawPCICDist,RawPCWalkDist,RawPCEVDist,RawPCCycleDist,RawPCICVol,RawPCWalkVol,RawPCEVVol,RawPCCycleVol,source
0:0:0:0,13344.97526064064,0,0,0,0,27 13 (27.0:29.0)[false-Van]:33 12 (33.0:15.0)[true-Van]:9 7 (9.0:93.0)[false-Van]:3 14 (3.0:87.0)[false-Van]:5 11 (5.0:93.0)[false-Van]:20 2 (20.0:67.0)[false-Van]:16 9 (16.0:69.0)[false-Van]:13 21 (13.0:57.0)[false-Van]:8 22 (8.0:29.0)[false-Van]:35 23 (35.0:71.0)[false-Van]:7 2 (7.0:71.0)[false-Van]:31 11 (31.0:21.0)[true-Van]:15 14 (15.0:65.0)[false-Van]:10 18 (10.0:55.0)[false-Van]:30 18 (30.0:27.0)[false-Van]:6 18 (6.0:33.0)[true-Van]:34 2 (34.0:31.0)[false-Van]:22 15 (22.0:19.0)[false-Van]:21 20 (21.0:41.0)[false-Van]:28 8 (28.0:25.0)[false-Van]:23 11 (23.0:15.0)[true-City Cargo Bike]:25 13 (25.0:19.0)[false-Van]:17 10 (17.0:3.0)[false-Van]:26 19 (26.0:27.0)[false-Walker]:2 1 (2.0:1.0)[false-Van]:18 4 (18.0:19.0)[false-Van]:32 21 (32.0:61.0)[false-Van]:36 11 (36.0:91.0)[false-Van]:11 23 (11.0:23.0)[false-Walker]:24 6 (24.0:79.0)[false-Van]:29 15 (29.0:59.0)[false-Van]:4 15 (4.0:69.0)[false-Van]:19 19 (19.0:21.0)[false-Van]:12 12 (12.0:19.0)[false-Van]:14 2 (14.0:5.0)[false-Van]:,SOL:R:Van:27:9:3:5:20:16:13:8::R:Van:33:35:7:15:10:30:34:28:2::R:Van:31:22:21:25:17:18:32:14::R:Van:6:36:24:29:4:19:12::R:City Cargo Bike:23::R:Walker:26::R:Walker:11:,13344.97526064064,7.0,32069.731347906,110701.2520258369,630.0,110071.2520258369,7690.387718199177,1343.3079109110167,3162.8929150239114,916.2780385116,57.0,29.0,0.0,14.0,91.0,6.0,0.0,3.0,48.0,34.0,0.0,18.0,88.0,10.0,0.0,2.0,RndSwap:advanced
0:0:0:1,-1.0,0,0,0,1,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:2,-1.0,0,0,0,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:3,-1.0,0,0,0,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:4,-1.0,0,0,0,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:0,25462.654184341423,0,0,1,0,28 8 (28.0:25.0)[false-City Cargo Bike]:15 14 (15.0:65.0)[true-Van]:6 18 (6.0:33.0)[false-City Cargo Bike]:2 1 (2.0:1.0)[false-City Cargo Bike]:8 22 (8.0:29.0)[false-City Cargo Bike]:22 15 (22.0:19.0)[true-Van]:10 18 (10.0:55.0)[false-Van]:20 2 (20.0:67.0)[false-City Cargo Bike]:13 21 (13.0:57.0)[false-Van]:5 11 (5.0:93.0)[false-Van]:7 2 (7.0:71.0)[false-City Cargo Bike]:18 4 (18.0:19.0)[false-City Cargo Bike]:3 14 (3.0:87.0)[false-Van]:33 12 (33.0:15.0)[true-Van]:31 11 (31.0:21.0)[true-Van]:9 7 (9.0:93.0)[false-Van]:34 2 (34.0:31.0)[false-Van]:25 13 (25.0:19.0)[false-Van]:23 11 (23.0:15.0)[false-Van]:30 18 (30.0:27.0)[false-Van]:26 19 (26.0:27.0)[false-Van]:32 21 (32.0:61.0)[false-Van]:36 11 (36.0:91.0)[false-Van]:35 23 (35.0:71.0)[false-Van]:16 9 (16.0:69.0)[false-Van]:24 6 (24.0:79.0)[false-Van]:14 2 (14.0:5.0)[false-Van]:17 10 (17.0:3.0)[true-City Cargo Bike]:4 15 (4.0:69.0)[false-Van]:11 23 (11.0:23.0)[false-Van]:29 15 (29.0:59.0)[false-Van]:27 13 (27.0:29.0)[false-City Cargo Bike]:19 19 (19.0:21.0)[false-Walker]:21 20 (21.0:41.0)[true-City Cargo Bike]:12 12 (12.0:19.0)[false-Van]:,SOL:R:City Cargo Bike:28:2::R:Van:15:10:13:5:3:9:34:23::R:City Cargo Bike:6::R:City Cargo Bike:8::R:Van:22:25:30:26:32:36:14::R:City Cargo Bike:20:7:18::R:Van:33:35:16:24:4:11::R:Van:31:29:12::R:City Cargo Bike:17::R:City Cargo Bike:27::R:Walker:19::R:City Cargo Bike:21:,25462.654184341423,12.0,34925.97318513927,142612.83865004496,880.0,141732.83865004496,7291.607539661903,1393.370685134301,4074.652532858427,997.8849481468363,33.0,8.0,0.0,58.0,69.0,3.0,0.0,29.0,27.0,8.0,0.0,64.0,73.0,4.0,0.0,23.0,RndSwap:advanced
0:0:1:1,49494.19014430024,0,0,1,1,30 18 (30.0:27.0)[false-City Cargo Bike]:7 2 (7.0:71.0)[true-City Cargo Bike]:14 2 (14.0:5.0)[true-Walker]:28 8 (28.0:25.0)[false-City Cargo Bike]:25 13 (25.0:19.0)[false-Van]:26 19 (26.0:27.0)[false-Walker]:20 2 (20.0:67.0)[false-City Cargo Bike]:22 15 (22.0:19.0)[false-Van]:24 6 (24.0:79.0)[false-City Cargo Bike]:21 20 (21.0:41.0)[false-Van]:23 11 (23.0:15.0)[false-Walker]:15 14 (15.0:65.0)[false-Van]:4 15 (4.0:69.0)[false-City Cargo Bike]:6 18 (6.0:33.0)[true-Van]:2 1 (2.0:1.0)[false-City Cargo Bike]:3 14 (3.0:87.0)[false-Van]:5 11 (5.0:93.0)[false-Van]:13 21 (13.0:57.0)[false-City Cargo Bike]:34 2 (34.0:31.0)[false-Van]:17 10 (17.0:3.0)[false-Van]:8 22 (8.0:29.0)[false-Van]:35 23 (35.0:71.0)[false-Van]:31 11 (31.0:21.0)[true-Van]:9 7 (9.0:93.0)[false-Van]:10 18 (10.0:55.0)[false-Van]:18 4 (18.0:19.0)[false-Van]:16 9 (16.0:69.0)[false-Van]:32 21 (32.0:61.0)[false-Van]:36 11 (36.0:91.0)[false-Van]:11 23 (11.0:23.0)[false-Walker]:33 12 (33.0:15.0)[false-City Cargo Bike]:29 15 (29.0:59.0)[false-Van]:27 13 (27.0:29.0)[false-Van]:12 12 (12.0:19.0)[true-City Cargo Bike]:19 19 (19.0:21.0)[false-City Cargo Bike]:,SOL:R:City Cargo Bike:30::R:City Cargo Bike:7:20:2::R:Walker:14::R:City Cargo Bike:28::R:Van:25:22:21:15:3:5:34:17::R:Walker:26::R:City Cargo Bike:24::R:Walker:23::R:City Cargo Bike:4::R:Van:6:8:35:9:10:18::R:City Cargo Bike:13::R:Van:31:16:32:36:29:27::R:Walker:11::R:City Cargo Bike:33::R:City Cargo Bike:12::R:City Cargo Bike:19:,49494.19014430024,16.0,37040.69165465614,196304.1785907065,1010.0,195294.1785907065,7592.047439885646,1890.035484270365,5608.690816877328,1058.3054758473183,19.0,25.0,0.0,56.0,57.0,11.0,0.0,31.0,15.0,18.0,0.0,67.0,61.0,12.0,0.0,26.0,RndSwap:advanced
0:0:1:2,-1.0,0,0,1,2,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:3,-1.0,0,0,1,3,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:1:4,-1.0,0,0,1,4,,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
