Id,Fitness,CO2,Time,Fixed Cost,Running Cost,,,,Distance,NoRoutes,CO2,TotalCost,FixedCost,RunningCost,TimeOfLastDel,AvgDelTime,CostPerDelivery,CO2PerDelivery,PCICRoutes,PCWalkRoutes,PCEVRoutes,PCCycleRoutes,PCICVisits,PCWalkVisits,PCEVVisits,PCCycleVisits,PCICDist,PCWalkDist,PCEVDist,PCCycleDist,PCICVol,PCWalkVol,PCEVVol,PCCycleVol,source
0:0:0:0:0,6316.5038463067185,0,0,0,0,0,9 23 (9.0:30.0)[false-Van]:16 7 (16.0:80.0)[false-City Cargo Bike]:44 7 (44.0:31.0)[false-Van-30]:29 3 (29.0:30.0)[false-Van]:14 15 (14.0:90.0)[false-Van]:49 24 (49.0:94.0)[false-Van]:19 7 (19.0:37.0)[false-Van]:41 5 (41.0:26.0)[false-Van]:7 8 (7.0:81.0)[false-Van]:45 15 (45.0:24.0)[false-Van]:32 6 (32.0:76.0)[false-Van-30]:35 5 (35.0:76.0)[false-Van]:22 22 (22.0:98.0)[false-Van]:46 23 (46.0:84.0)[false-Van]:48 5 (48.0:90.0)[false-Van]:54 3 (54.0:82.0)[false-Van]:8 15 (8.0:79.0)[false-Van-30]:6 16 (6.0:21.0)[false-Van]:10 8 (10.0:5.0)[false-Van]:47 20 (47.0:33.0)[false-Van]:36 7 (36.0:100.0)[false-Van]:11 2 (11.0:31.0)[false-Van]:20 6 (20.0:39.0)[false-Van]:24 5 (24.0:10.0)[false-Van]:18 11 (18.0:28.0)[false-City Cargo Bike]:55 4 (55.0:76.0)[false-Van]:4 7 (4.0:89.0)[false-Van]:25 18 (25.0:82.0)[false-Van]:56 5 (56.0:80.0)[false-Van]:42 18 (42.0:84.0)[false-Van]:39 6 (39.0:6.0)[false-Van]:43 3 (43.0:86.0)[false-Van]:27 4 (27.0:94.0)[false-Van]:15 14 (15.0:24.0)[false-Van]:17 14 (17.0:96.0)[false-Van]:3 15 (3.0:75.0)[false-Van]:13 7 (13.0:10.0)[false-Van]:23 26 (23.0:8.0)[false-Van]:28 10 (28.0:94.0)[false-Van]:50 6 (50.0:92.0)[false-Van]:30 2 (30.0:84.0)[false-Van]:37 12 (37.0:94.0)[false-Van]:26 18 (26.0:82.0)[false-Van]:21 1 (21.0:78.0)[false-Van]:12 14 (12.0:84.0)[false-Van]:31 12 (31.0:76.0)[false-Van]:40 12 (40.0:90.0)[false-Van]:33 15 (33.0:98.0)[false-Van]:51 19 (51.0:8.0)[false-Van]:34 12 (34.0:90.0)[false-Van]:5 25 (5.0:89.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:53 10 (53.0:94.0)[false-Van]:52 5 (52.0:24.0)[false-Van]:2 10 (2.0:93.0)[false-Van]:,SOL:R:Van:9:16:44:29:14:49:19:41:7::R:Van:45:32:35:22:46:48:54:8::R:Van:6:10:47:36:11:20:24:18:55:4::R:Van:25:56:42:39:43:27:15:17:3::R:Van:13:23:28:50:30:37:26:21:12::R:Van:31:40:33:51:34:5::R:Van:38:53:52:2:,6316.5038463067185,7.0,31582.519231533595,95587.55769460078,840.0,94747.55769460078,14957.360502994059,1367.443431562697,1737.9555944472868,574.22762239152,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,init
0:0:0:0:1,-1.0,0,0,0,0,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:2,-1.0,0,0,0,0,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:3,-1.0,0,0,0,0,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:0:4,-1.0,0,0,0,0,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:0,9638.437291646434,0,0,0,1,0,47 20 (47.0:33.0)[false-Van]:45 15 (45.0:24.0)[false-Van]:27 4 (27.0:94.0)[false-Van]:12 14 (12.0:84.0)[false-City Cargo Bike]:46 23 (46.0:84.0)[false-Van]:6 16 (6.0:21.0)[false-Van]:7 8 (7.0:81.0)[false-Van]:10 8 (10.0:5.0)[false-Van]:49 24 (49.0:94.0)[false-Van]:15 14 (15.0:24.0)[false-Van]:41 5 (41.0:26.0)[false-Van]:21 1 (21.0:78.0)[false-Van]:32 6 (32.0:76.0)[false-Van]:55 4 (55.0:76.0)[false-City Cargo Bike]:9 23 (9.0:30.0)[false-Van]:2 10 (2.0:93.0)[false-Van]:20 6 (20.0:39.0)[false-Van]:54 3 (54.0:82.0)[false-City Cargo Bike]:52 5 (52.0:24.0)[false-Van]:56 5 (56.0:80.0)[false-Van]:24 5 (24.0:10.0)[false-Van]:26 18 (26.0:82.0)[false-Van]:31 12 (31.0:76.0)[false-Van]:28 10 (28.0:94.0)[false-City Cargo Bike]:17 14 (17.0:96.0)[false-Van]:8 15 (8.0:79.0)[false-Van]:14 15 (14.0:90.0)[false-City Cargo Bike]:36 7 (36.0:100.0)[false-Van]:11 2 (11.0:31.0)[false-Van]:40 12 (40.0:90.0)[false-Van]:23 26 (23.0:8.0)[false-Van]:48 5 (48.0:90.0)[false-Van]:51 19 (51.0:8.0)[false-Van]:5 25 (5.0:89.0)[false-Van]:42 18 (42.0:84.0)[false-Van]:39 6 (39.0:6.0)[false-Van]:18 11 (18.0:28.0)[false-Van]:13 7 (13.0:10.0)[false-Van]:25 18 (25.0:82.0)[false-Van]:50 6 (50.0:92.0)[false-Van]:3 15 (3.0:75.0)[false-Van]:30 2 (30.0:84.0)[false-Van]:29 3 (29.0:30.0)[false-Van-30]:19 7 (19.0:37.0)[false-Van]:4 7 (4.0:89.0)[false-Van]:22 22 (22.0:98.0)[false-City Cargo Bike]:34 12 (34.0:90.0)[false-Van]:53 10 (53.0:94.0)[false-Van]:37 12 (37.0:94.0)[false-Van]:43 3 (43.0:86.0)[false-Van]:35 5 (35.0:76.0)[false-Van-30]:44 7 (44.0:31.0)[false-Van]:33 15 (33.0:98.0)[false-Van]:38 24 (38.0:84.0)[false-Van]:16 7 (16.0:80.0)[false-Van]:,SOL:R:Van:47:45:27:12:46:6:7::R:Van:10:49:15:41:21:32:55:9:2::R:Van:20:54:52:56:24:26:31:28:17:8::R:City Cargo Bike:14::R:Van:36:11:40:23:48:51:5::R:Van:42:39:18:13:25:50:3:30:29:19:4::R:City Cargo Bike:22::R:Van:34:53:37:43:35:44:33:38:16:,9638.437291646434,8.0,27666.543111076688,92029.88667209225,820.0,91209.88667209225,17026.213859141324,1429.1905018361779,1673.2706667653138,503.0280565650307,75.0,0.0,0.0,25.0,96.0,0.0,0.0,4.0,57.0,0.0,0.0,43.0,94.0,0.0,0.0,6.0,init
0:0:0:1:1,-1.0,0,0,0,1,1,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:2,-1.0,0,0,0,1,2,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:3,-1.0,0,0,0,1,3,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0:0:0:1:4,-1.0,0,0,0,1,4,na,na,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
